date,actTempOutsideNorth,burnerDailyOperatingHours
2017.01.19 00:00:00,-6.0,5.3
2017.01.20 00:00:00,-7.0,8.7
2017.01.21 00:00:00,-10.0,7.6
2017.01.22 00:00:00,-11.6,6.3
2017.01.23 00:00:00,-12.2,11.7
2017.01.24 00:00:00,-13.3,10.0
2017.01.25 00:00:00,-9.3,11.4
2017.01.26 00:00:00,-5.0,8.5
2017.01.27 00:00:00,-6.6,11.1
2017.01.28 00:00:00,-8.6,10.0
2017.01.29 00:00:00,-10.8,8.1
2017.01.30 00:00:00,-8.5,7.6
2017.01.31 00:00:00,-2.2,10.3
2017.02.01 00:00:00,0.3,8.3
2017.02.02 00:00:00,-0.3,7.4
2017.02.03 00:00:00,-1.6,5.9
2017.02.04 00:00:00,1.3,5.8
2017.02.05 00:00:00,2.6,5.5
2017.02.06 00:00:00,1.2,6.0
2017.02.07 00:00:00,0.8,6.8
2017.02.08 00:00:00,-0.6,7.7
2017.02.09 00:00:00,-2.9,8.2
2017.02.10 00:00:00,-3.8,9.0
2017.02.11 00:00:00,-2.0,7.9
2017.02.12 00:00:00,-1.9,5.4
2017.02.13 00:00:00,-1.5,9.3
2017.02.14 00:00:00,-3.1,7.3
2017.02.15 00:00:00,-3.5,7.4
2017.02.16 00:00:00,-2.7,6.3
2017.02.17 00:00:00,-1.2,6.7
2017.02.18 00:00:00,1.2,8.1
2017.02.19 00:00:00,-1.2,6.4
2017.02.20 00:00:00,-0.2,5.5
2017.02.21 00:00:00,4.7,6.8
2017.02.22 00:00:00,6.6,5.7
2017.02.23 00:00:00,8.1,3.9
2017.02.24 00:00:00,10.7,4.6
2017.02.25 00:00:00,0.4,6.1
2017.02.26 00:00:00,-1.9,4.7
2017.02.27 00:00:00,1.9,6.4
2017.02.28 00:00:00,0.5,4.2
2017.03.01 00:00:00,2.1,7.4
2017.03.02 00:00:00,3.4,6.9
2017.03.03 00:00:00,1.8,6.3
2017.03.04 00:00:00,4.6,6.2
2017.03.05 00:00:00,7.1,4.4
2017.03.06 00:00:00,2.7,6.3
2017.03.07 00:00:00,4.1,5.2
2017.03.08 00:00:00,2.0,6.8
2017.03.09 00:00:00,3.7,5.9
2017.03.10 00:00:00,6.4,6.2
2017.03.11 00:00:00,2.4,4.0
2017.03.12 00:00:00,3.3,5.5
2017.03.13 00:00:00,-1.0,5.9
2017.03.14 00:00:00,2.0,4.3
2017.03.15 00:00:00,3.4,6.6
2017.03.16 00:00:00,1.9,4.8
2017.03.17 00:00:00,1.5,4.9
2017.03.18 00:00:00,8.1,2.9
2017.03.19 00:00:00,7.4,5.6
2017.03.20 00:00:00,10.0,4.4
2017.03.21 00:00:00,5.3,3.5
2017.03.22 00:00:00,8.1,3.5
2017.03.23 00:00:00,4.8,5.1
2017.03.24 00:00:00,4.9,3.7
2017.03.25 00:00:00,5.6,6.1
2017.03.26 00:00:00,3.7,3.7
2017.03.27 00:00:00,2.4,3.3
2017.03.28 00:00:00,5.6,2.3
2017.03.29 00:00:00,5.4,0.0
2017.03.30 00:00:00,6.9,0.0
2017.03.31 00:00:00,10.1,0.0
2017.04.01 00:00:00,9.0,0.0
2017.04.02 00:00:00,10.1,0.0
2017.04.03 00:00:00,8.3,1.1
2017.04.04 00:00:00,8.8,0.0
2017.04.05 00:00:00,6.3,0.0
2017.04.06 00:00:00,7.8,0.0
2017.04.07 00:00:00,4.0,0.0
2017.04.08 00:00:00,7.4,0.0
2017.04.09 00:00:00,7.6,0.0
2017.04.10 00:00:00,8.1,1.3
2017.04.11 00:00:00,12.5,1.4
2017.04.12 00:00:00,6.1,2.3
